iso_code,continent,location,date,new_cases_smoothed_per_million,people_vaccinated_per_hundred
AFG,Asia,Afghanistan,2020-02-24,0.004,0.0
AFG,Asia,Afghanistan,2020-02-25,0.004,0.0
AFG,Asia,Afghanistan,2020-02-26,0.004,0.0
AFG,Asia,Afghanistan,2020-02-27,0.004,0.0
AFG,Asia,Afghanistan,2020-02-28,0.004,0.0
AFG,Asia,Afghanistan,2020-02-29,0.004,0.0
AFG,Asia,Afghanistan,2020-03-01,0.004,0.0
AFG,Asia,Afghanistan,2020-03-02,0.0,0.0
AFG,Asia,Afghanistan,2020-03-03,0.004,0.0
AFG,Asia,Afghanistan,2020-03-04,0.011,0.0
AFG,Asia,Afghanistan,2020-03-05,0.011,0.0
AFG,Asia,Afghanistan,2020-03-06,0.011,0.0
AFG,Asia,Afghanistan,2020-03-07,0.011,0.0
AFG,Asia,Afghanistan,2020-03-08,0.015,0.0
AFG,Asia,Afghanistan,2020-03-09,0.022,0.0
AFG,Asia,Afghanistan,2020-03-10,0.022,0.0
AFG,Asia,Afghanistan,2020-03-11,0.026,0.0
AFG,Asia,Afghanistan,2020-03-12,0.029,0.0
AFG,Asia,Afghanistan,2020-03-13,0.033,0.0
AFG,Asia,Afghanistan,2020-03-14,0.04,0.0
AFG,Asia,Afghanistan,2020-03-15,0.04,0.0
AFG,Asia,Afghanistan,2020-03-16,0.04,0.0
AFG,Asia,Afghanistan,2020-03-17,0.044,0.0
AFG,Asia,Afghanistan,2020-03-18,0.048,0.0
AFG,Asia,Afghanistan,2020-03-19,0.048,0.0
AFG,Asia,Afghanistan,2020-03-20,0.059,0.0
AFG,Asia,Afghanistan,2020-03-21,0.055,0.0
AFG,Asia,Afghanistan,2020-03-22,0.066,0.0
AFG,Asia,Afghanistan,2020-03-23,0.084,0.0
AFG,Asia,Afghanistan,2020-03-24,0.084,0.0
AFG,Asia,Afghanistan,2020-03-25,0.191,0.0
AFG,Asia,Afghanistan,2020-03-26,0.202,0.0
AFG,Asia,Afghanistan,2020-03-27,0.228,0.0
AFG,Asia,Afghanistan,2020-03-28,0.283,0.0
AFG,Asia,Afghanistan,2020-03-29,0.308,0.0
AFG,Asia,Afghanistan,2020-03-30,0.385,0.0
AFG,Asia,Afghanistan,2020-03-31,0.484,0.0
AFG,Asia,Afghanistan,2020-04-01,0.444,0.0
AFG,Asia,Afghanistan,2020-04-02,0.587,0.0
AFG,Asia,Afghanistan,2020-04-03,0.675,0.0
AFG,Asia,Afghanistan,2020-04-04,0.708,0.0
AFG,Asia,Afghanistan,2020-04-05,0.807,0.0
AFG,Asia,Afghanistan,2020-04-06,0.815,0.0
AFG,Asia,Afghanistan,2020-04-07,0.914,0.0
AFG,Asia,Afghanistan,2020-04-08,0.91,0.0
AFG,Asia,Afghanistan,2020-04-09,0.899,0.0
AFG,Asia,Afghanistan,2020-04-10,0.943,0.0
AFG,Asia,Afghanistan,2020-04-11,0.939,0.0
AFG,Asia,Afghanistan,2020-04-12,0.991,0.0
AFG,Asia,Afghanistan,2020-04-13,1.094,0.0
AFG,Asia,Afghanistan,2020-04-14,1.068,0.0
AFG,Asia,Afghanistan,2020-04-15,1.248,0.0
AFG,Asia,Afghanistan,2020-04-16,1.306,0.0
AFG,Asia,Afghanistan,2020-04-17,1.376,0.0
AFG,Asia,Afghanistan,2020-04-18,1.387,0.0
AFG,Asia,Afghanistan,2020-04-19,1.428,0.0
AFG,Asia,Afghanistan,2020-04-20,1.325,0.0
AFG,Asia,Afghanistan,2020-04-21,1.387,0.0
AFG,Asia,Afghanistan,2020-04-22,1.439,0.0
AFG,Asia,Afghanistan,2020-04-23,1.45,0.0
AFG,Asia,Afghanistan,2020-04-24,1.556,0.0
AFG,Asia,Afghanistan,2020-04-25,1.945,0.0
AFG,Asia,Afghanistan,2020-04-26,1.963,0.0
AFG,Asia,Afghanistan,2020-04-27,2.484,0.0
AFG,Asia,Afghanistan,2020-04-28,2.705,0.0
AFG,Asia,Afghanistan,2020-04-29,2.8,0.0
AFG,Asia,Afghanistan,2020-04-30,3.27,0.0
AFG,Asia,Afghanistan,2020-05-01,3.523,0.0
AFG,Asia,Afghanistan,2020-05-02,3.692,0.0
